j	t1(j)	t2(j)	t3(j)	t4(j)
2.78	6.93916	14.1309	21.0136	28.1477
2.79	6.97259	14.1925	21.0966	28.2505
2.8	7.006	14.2541	21.1794	28.3531
2.81	7.03939	14.3155	21.2622	28.4556
2.82	7.07275	14.3769	21.3448	28.5579
2.83	7.10609	14.4382	21.4274	28.6601
2.84	7.13941	14.4995	21.5098	28.7621
2.85	7.1727	14.5607	21.5921	28.864
2.86	7.20597	14.6218	21.6744	28.9657
2.87	7.23922	14.6828	21.7565	29.0673
2.88	7.27245	14.7437	21.8385	29.1687
2.89	7.30566	14.8046	21.9204	29.27
2.9	7.33885	14.8654	22.0022	29.3711
2.91	7.37202	14.9261	22.0839	29.4721
2.92	7.40517	14.9868	22.1655	29.5729
2.93	7.4383	15.0473	22.2471	29.6736
2.94	7.47141	15.1079	22.3285	29.7742
2.95	7.50451	15.1683	22.4098	29.8746
2.96	7.53758	15.2287	22.491	29.9749
2.97	7.57064	15.289	22.5721	30.075
2.98	7.60368	15.3492	22.6532	30.175
2.99	7.6367	15.4094	22.7341	30.2749
3	7.66971	15.4695	22.815	30.3746
3.01	7.7027	15.5296	22.8957	30.4743
3.02	7.73567	15.5896	22.9764	30.5737
3.03	7.76863	15.6495	23.057	30.6731
3.04	7.80157	15.7093	23.1375	30.7723
3.05	7.8345	15.7691	23.2179	30.8714
3.06	7.86741	15.8289	23.2982	30.9704
3.07	7.90031	15.8885	23.3784	31.0693
3.08	7.93319	15.9482	23.4586	31.168
3.09	7.96606	16.0077	23.5386	31.2666
3.1	7.99892	16.0672	23.6186	31.3651
3.11	8.03176	16.1266	23.6985	31.4635
3.12	8.06459	16.186	23.7783	31.5617
3.13	8.0974	16.2453	23.858	31.6598
3.14	8.13021	16.3046	23.9377	31.7578
3.15	8.163	16.3638	24.0173	31.8557
3.16	8.19577	16.4229	24.0967	31.9535
3.17	8.22854	16.482	24.1761	32.0512
3.18	8.2613	16.5411	24.2555	32.1487
3.19	8.29404	16.6001	24.3347	32.2462
3.2	8.32677	16.659	24.4139	32.3435
3.21	8.35949	16.7179	24.493	32.4407
3.22	8.3922	16.7767	24.572	32.5379
3.23	8.4249	16.8355	24.6509	32.6349
3.24	8.45759	16.8942	24.7298	32.7318
3.25	8.49027	16.9529	24.8086	32.8285
3.26	8.52294	17.0115	24.8873	32.9252
3.27	8.5556	17.07	24.966	33.0218
3.28	8.58826	17.1286	25.0445	33.1183
3.29	8.6209	17.187	25.123	33.2147
3.3	8.65353	17.2454	25.2015	33.3109
3.31	8.68616	17.3038	25.2798	33.4071
3.32	8.71877	17.3621	25.3581	33.5032
3.33	8.75138	17.4204	25.4363	33.5991
3.34	8.78398	17.4786	25.5145	33.695
3.35	8.81657	17.5368	25.5926	33.7908
3.36	8.84916	17.595	25.6706	33.8864
3.37	8.88174	17.653	25.7485	33.982
3.38	8.91431	17.7111	25.8264	34.0775
3.39	8.94687	17.7691	25.9042	34.1729
3.4	8.97943	17.827	25.982	34.2682
3.41	9.01198	17.8849	26.0597	34.3634
3.42	9.04452	17.9428	26.1373	34.4585
3.43	9.07706	18.0006	26.2149	34.5535
3.44	9.10959	18.0584	26.2923	34.6484
3.45	9.14212	18.1161	26.3698	34.7432
3.46	9.17464	18.1738	26.4471	34.838
3.47	9.20715	18.2315	26.5244	34.9326
3.48	9.23966	18.2891	26.6017	35.0272
3.49	9.27216	18.3467	26.6789	35.1217
3.5	9.30466	18.4042	26.756	35.2161
3.51	9.33716	18.4617	26.833	35.3104
3.52	9.36965	18.5191	26.91	35.4046
3.53	9.40213	18.5765	26.987	35.4987
3.54	9.43461	18.6339	27.0639	35.5928
3.55	9.46709	18.6912	27.1407	35.6867
3.56	9.49956	18.7485	27.2174	35.7806
3.57	9.53203	18.8058	27.2941	35.8744
3.58	9.56449	18.863	27.3708	35.9681
3.59	9.59695	18.9202	27.4474	36.0617
3.6	9.62941	18.9773	27.5239	36.1553
3.61	9.66187	19.0344	27.6004	36.2488
3.62	9.69432	19.0915	27.6768	36.3421
