W(GeV)	WErrorp	WErrorm	sigma(mub)	Errorp	Errorm
2.6736560837428685	0.0	0.0	138.7	7.301638240833354	7.301638240833354
2.681937248011175	0.0	0.0	132.8	7.285757064300182	7.285757064300182
2.690200814503234	0.0	0.0	144.4	6.1037876765169345	6.1037876765169345
2.6984467550870335	0.0	0.0	133.39999999999998	5.729398223199361	5.729398223199361
2.7017401908889096	0.1610765847082809	0.13391133061479366	132.0	3.0	3.0
2.7066750474976096	0.0	0.0	136.2	5.579910035117053	5.579910035117053
2.714885675028178	0.0	0.0	130.20000000000002	5.590781340742991	5.590781340742991
2.723078626236789	0.0	0.0	133.8	5.459138759914425	5.459138759914425
2.7306005239893145	0.0	0.0	148.2	10.985075031150219	10.985075031150219
2.7312538946676406	0.0	0.0	133.89999999999998	5.5295830765076674	5.5295830765076674
2.732886826187631	0.0	0.0	111.0	12.0	12.0
2.7394114785863257	0.0	0.0	130.39999999999998	5.523924691738655	5.523924691738655
2.74755138072827	0.0	0.0	131.39999999999998	5.615991809110835	5.615991809110835
2.7508023921110962	0.0	0.0	129.8	7.073621262125927	7.073621262125927
2.7556736080596766	0.0	0.0	128.70000000000002	5.559435313051138	5.559435313051138
2.7637781715503293	0.0	0.0	140.4	5.808695550637855	5.808695550637855
2.7718650859576437	0.0	0.0	138.3	5.833026744324083	5.833026744324083
2.7799343696213965	0.0	0.0	129.20000000000002	5.789073846480108	5.789073846480108
2.787986044268572	0.0	0.0	143.6	5.878678763123564	5.878678763123564
2.7960201348278058	0.0	0.0	128.0	5.6908347366621	5.6908347366621
2.8040366692529557	0.0	0.0	132.6	5.641319349230284	5.641319349230284
2.812035678355317	0.0	0.0	132.1	5.92160189475787	5.92160189475787
2.8200171956440516	0.0	0.0	126.8	6.282548527468769	6.282548527468769
2.827981257174417	0.0	0.0	127.8	6.380404062439934	6.380404062439934
2.835927901403399	0.0	0.0	124.3	6.157551542618218	6.157551542618218
2.8438571690523786	0.0	0.0	123.89999999999999	6.150291781696215	6.150291781696215
2.8470240202002985	0.0	0.0	132.70000000000002	6.207715985771257	6.207715985771257
2.851769102976471	0.0	0.0	127.1	6.448175633464088	6.448175633464088
2.8533494136283704	0.0	0.0	126.8	5.528578840895733	5.528578840895733
2.859663748040234	0.0	0.0	121.30000000000001	6.184037596910291	6.184037596910291
2.8675411509993842	0.0	0.0	133.8	6.4901614771899165	6.4901614771899165
2.8754013603882522	0.0	0.0	128.70000000000002	6.396664834114729	6.396664834114729
2.8832444264127006	0.0	0.0	134.3	6.57820955883894	6.57820955883894
2.8910704008481978	0.0	0.0	123.1	6.296685556703622	6.296685556703622
2.898879336942837	0.0	0.0	131.70000000000002	6.69106874871272	6.69106874871272
2.9066712893250237	0.0	0.0	121.39999999999999	6.4307203329020615	6.4307203329020615
2.9144463139156307	0.0	0.0	137.0	6.628129449550605	6.628129449550605
2.9222044678443786	0.0	0.0	123.2	6.379687766654415	6.379687766654415
2.9299458093702553	0.0	0.0	130.1	6.662837908879369	6.662837908879369
2.937670397805766	0.0	0.0	134.8	6.746401707577159	6.746401707577159
2.9407555557891185	0.0	0.0	127.2	6.38513092739687	6.38513092739687
2.9453782934448314	0.0	0.0	129.39999999999998	6.569621298065817	6.569621298065817
2.95306955749417	0.0	0.0	127.8	7.120362069445626	7.120362069445626
2.95306955749417	0.0	0.0	141.7	9.74138676421381	9.74138676421381
2.960744252007975	0.0	0.0	122.7	6.785260569793912	6.785260569793912
2.9684024398257467	0.0	0.0	121.80000000000001	6.603159546762444	6.603159546762444
2.976044184513116	0.0	0.0	119.8	6.654084159371596	6.654084159371596
2.983669550305535	0.0	0.0	119.3	6.73047108306692	6.73047108306692
2.991278602054664	0.0	0.0	134.20000000000002	6.735627364989842	6.735627364989842
2.998871405177378	0.0	0.0	132.3	6.782548267428695	6.782548267428695
3.006448025607206	0.0	0.0	124.8	6.90344377828921	6.90344377828921
3.01400852974815	0.0	0.0	122.0	6.689962630687858	6.689962630687858
3.0215529844307243	0.0	0.0	113.9	6.4750203860682936	6.4750203860682936
