Q2	alphaQED	InvalphaQED
1621.81	0.00768539	130.117
1659.59	0.00768638	130.1
1698.24	0.00768736	130.084
1737.8	0.00768835	130.067
1778.28	0.00768933	130.05
1819.7	0.00769031	130.034
1862.09	0.0076913	130.017
1905.46	0.00769228	130
1949.84	0.00769327	129.984
1995.26	0.00769426	129.967
2041.74	0.00769524	129.95
2089.3	0.00769623	129.934
2137.96	0.00769721	129.917
2187.76	0.0076982	129.901
2238.72	0.00769919	129.884
2290.87	0.00770017	129.867
2344.23	0.00770116	129.851
2398.83	0.00770215	129.834
2454.71	0.00770313	129.817
2511.89	0.00770412	129.801
2570.4	0.00770511	129.784
2630.27	0.0077061	129.767
2691.53	0.00770709	129.751
2754.23	0.00770808	129.734
2818.38	0.00770906	129.717
2884.03	0.00771005	129.701
2951.21	0.00771104	129.684
3019.95	0.00771203	129.668
3090.3	0.00771302	129.651
3162.28	0.00771401	129.634
3235.94	0.007715	129.618
3311.31	0.00771599	129.601
3388.44	0.00771698	129.584
3467.37	0.00771798	129.568
3548.13	0.00771897	129.551
3630.78	0.00771996	129.534
3715.35	0.00772095	129.518
3801.89	0.00772194	129.501
3890.45	0.00772293	129.484
3981.07	0.00772393	129.468
4073.8	0.00772492	129.451
4168.69	0.00772591	129.435
4265.8	0.00772691	129.418
4365.16	0.0077279	129.401
4466.84	0.00772889	129.385
4570.88	0.00772989	129.368
4677.35	0.00773088	129.351
4786.3	0.00773188	129.335
4897.79	0.00773287	129.318
5011.87	0.00773386	129.301
5128.61	0.00773486	129.285
5248.07	0.00773586	129.268
5370.32	0.00773685	129.252
5495.41	0.00773785	129.235
5623.41	0.00773884	129.218
5754.4	0.00773984	129.202
5888.44	0.00774084	129.185
6025.6	0.00774183	129.168
6165.95	0.00774283	129.152
6309.57	0.00774383	129.135
6456.54	0.00774483	129.118
6606.93	0.00774582	129.102
6760.83	0.00774682	129.085
6918.31	0.00774782	129.069
7079.46	0.00774882	129.052
7244.36	0.00774982	129.035
7413.1	0.00775082	129.019
7585.78	0.00775182	129.002
7762.47	0.00775282	128.985
7943.28	0.00775382	128.969
8128.31	0.00775482	128.952
8317.64	0.00775581	128.936
8511.38	0.00775681	128.919
8709.64	0.00775781	128.902
8912.51	0.00775881	128.886
9120.11	0.0077598	128.869
9332.54	0.0077608	128.853
9549.93	0.0077618	128.836
9772.37	0.0077628	128.82
10000	0.0077638	128.803
